symbol,organ_name
A32,CTCP 32
AAA,CTCP Nhựa An Phát Xanh
AAH,CTCP Hợp Nhất
AAM,CTCP Thủy sản MeKong
AAN,CTCP Lương thực A An
AAS,CTCP Chứng khoán SmartInvest
AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa
AAV,CTCP AAV Group
ABB,Ngân hàng TMCP An Bình
ABC,CTCP Truyền thông VMG
ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam
ABR,CTCP Đầu tư Nhãn hiệu Việt
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre
ABW,CTCP Chứng khoán An Bình
ACB,Ngân hàng TMCP Á Châu
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC
ACE,CTCP Bê tông Ly tâm An Giang
ACG,CTCP Gỗ An Cường
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang
ACM,CTCP Tập đoàn Khoáng sản Á Cường
ACS,CTCP Xây lắp Thương mại 2
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP
ADC,CTCP Mỹ thuật và Truyền thông
ADG,CTCP Clever Group
ADP,CTCP Sơn Á Đông
ADS,CTCP Damsan
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang
AG1,CTCP 28.1
AGF,CTCP Xuất nhập khẩu Thủy sản An Giang
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia
AGM,CTCP Xuất Nhập khẩu An Giang
AGP,CTCP Dược phẩm Agimexpharm
AGR,CTCP Chứng khoán Agribank
AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn
AIC,Tổng Công ty Cổ phần Bảo hiểm DBV
AIG,CTCP Nguyên liệu Á Châu AIG
ALC,CTCP Âu Lạc
ALT,CTCP Văn hóa Tân Bình
ALV,CTCP Tập đoàn MCST
AMC,CTCP Khoáng sản Á Châu
AME,CTCP Alphanam E&C
AMP,CTCP Armephaco
AMS,CTCP Cơ khí Xây dựng AMECC
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ
ANI,CTCP ANI
ANT,CTCP Rau quả Thực phẩm An Giang
ANV,CTCP Nam Việt
APC,CTCP Chiếu xạ An Phú
APF,CTCP Nông sản Thực phẩm Quảng Ngãi
APG,CTCP Chứng khoán APG
APH,CTCP Tập đoàn An Phát Holdings
API,CTCP Đầu tư Châu Á - Thái Bình Dương
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ
APS,CTCP Chứng khoán Châu Á Thái Bình Dương
APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn
ARM,CTCP Xuất nhập khẩu Hàng không
ART,CTCP Chứng khoán ARTEX
ASG,CTCP Tập đoàn ASG
ASM,CTCP Tập đoàn Sao Mai
ASP,CTCP Tập đoàn Dầu khí An Pha
AST,CTCP Dịch vụ Hàng không Taseco
ATA,CTCP Ntaco
ATG,CTCP ATG Planet
ATS,CTCP Tập đoàn Đầu tư ATS
AVC,CTCP Thủy điện A Vương
AVG,CTCP Phân bón Quốc tế Âu Việt
BAB,Ngân hàng TMCP Bắc Á
BAF,CTCP Nông nghiệp BAF Việt Nam
BAL,CTCP Bao bì Bia - Rượu - Nước giải khát
BAX,CTCP Thống Nhất
BBH,CTCP Bao bì Hoàng Thạch
BBM,CTCP Bia Hà Nội - Nam Định
BBS,CTCP VICEM Bao bì Bút Sơn
BBT,CTCP Bông Bạch Tuyết
BCA,CTCP B.C.H
BCB,CTCP 397
BCC,CTCP Xi măng Bỉm Sơn
BCE,CTCP Xây dựng và Giao thông Bình Dương
BCF,CTCP Thực phẩm Bích Chi
BCG,CTCP Tập đoàn Bamboo Capital
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP
BCP,CTCP Dược ENLIE
BCR,CTCP BCG Land
BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
BDG,CTCP May mặc Bình Dương
BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp
BDW,CTCP Cấp thoát nước Bình Định
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng
BEL,CTCP Điện tử Biên Hòa
BFC,CTCP Phân bón Bình Điền
BGE,CTCP BCG Energy
BGW,CTCP Nước sạch Bắc Giang
BHA,CTCP Thủy điện Bắc Hà
BHC,CTCP Bê tông Biên Hòa
BHG,CTCP Chè Biển Hồ
BHH,CTCP Bia Hà Nội - Hưng Yên 89
BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội
BHK,CTCP Bia Hà Nội - Kim Bài
BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội
BHP,CTCP Bia Hà Nội - Hải Phòng
BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam
BIG,CTCP Tập đoàn Đầu tư Big
BIO,CTCP Vắc xin và Sinh phẩm Nha Trang
